id,contest_id,rank,reward_percent,created_at,updated_at
"019cfe7e-e0c7-70ed-b68b-f6a799c8dc48","01d92661-daa9-4c25-91a3-8466ca482fad",1,100,2026-03-18 08:10:53,2026-03-18 08:10:53
"019cfe7e-e0cb-71eb-ab90-61ef132bd100","01d92661-daa9-4c25-91a3-8466ca482fad",2,80,2026-03-18 08:10:53,2026-03-18 08:10:53
"019cfe7e-e0ce-72d0-82e5-5fc9b1a01b0e","01d92661-daa9-4c25-91a3-8466ca482fad",3,70,2026-03-18 08:10:53,2026-03-18 08:10:53
"019cfe7f-2344-7113-9f67-868c0916f6df",1192002e-860d-41de-a553-1b94c099297f,1,100,2026-03-18 08:11:10,2026-03-18 08:11:10
"019cfe7f-2347-7280-9d58-842241d3eff2",1192002e-860d-41de-a553-1b94c099297f,2,70,2026-03-18 08:11:10,2026-03-18 08:11:10
"019cfe7f-234a-72a0-b3f4-e2355a8fc94f",1192002e-860d-41de-a553-1b94c099297f,3,50,2026-03-18 08:11:10,2026-03-18 08:11:10
"019cfe7f-6d8c-724e-9d2c-e92814e470e3",17970212-3f5c-4c69-91ef-c4235d243f65,1,100,2026-03-18 08:11:29,2026-03-18 08:11:29
"019cfe7f-6d90-725b-a295-20eabb09598f",17970212-3f5c-4c69-91ef-c4235d243f65,2,80,2026-03-18 08:11:29,2026-03-18 08:11:29
"019cfe7f-6d92-70da-a8a2-df69e5d6c508",17970212-3f5c-4c69-91ef-c4235d243f65,3,50,2026-03-18 08:11:29,2026-03-18 08:11:29
"019cfe7f-a713-7016-8f8c-a878fcfaeede",191c14de-0b40-4e42-a49d-35fd73370d22,1,100,2026-03-18 08:11:44,2026-03-18 08:11:44
"019cfe7f-a717-719b-8116-24c421ca21ec",191c14de-0b40-4e42-a49d-35fd73370d22,2,70,2026-03-18 08:11:44,2026-03-18 08:11:44
"019cfe7f-a71a-737b-aff8-220ea010ee4a",191c14de-0b40-4e42-a49d-35fd73370d22,3,60,2026-03-18 08:11:44,2026-03-18 08:11:44
"019cfe7f-d4f7-7015-8089-56c8240aff41",1c299470-02d7-427c-a70d-710b915a597c,1,100,2026-03-18 08:11:56,2026-03-18 08:11:56
"019cfe7f-d4fc-71f4-a3a6-fe9169628650",1c299470-02d7-427c-a70d-710b915a597c,2,90,2026-03-18 08:11:56,2026-03-18 08:11:56
"019cfe7f-d501-71f1-86e3-76d9fec1b988",1c299470-02d7-427c-a70d-710b915a597c,3,80,2026-03-18 08:11:56,2026-03-18 08:11:56
"019cfe80-66e7-7005-ad74-7e9c2b8ce612",37911f10-7192-4c30-89eb-fcf971427da4,1,100,2026-03-18 08:12:33,2026-03-18 08:12:33
"019cfe80-66ea-73a1-95af-4b551bc11316",37911f10-7192-4c30-89eb-fcf971427da4,2,80,2026-03-18 08:12:33,2026-03-18 08:12:33
"019cfe80-66ee-733b-9195-5b159dec6201",37911f10-7192-4c30-89eb-fcf971427da4,3,70,2026-03-18 08:12:33,2026-03-18 08:12:33
"019cfe82-bc5f-7210-8518-67eab0115672","019ce160-6b44-7326-9bb7-1eef7aeffe81",1,100,2026-03-18 08:15:06,2026-03-18 08:15:06
"019cfe82-bc64-7123-bdcd-be6d351e485d","019ce160-6b44-7326-9bb7-1eef7aeffe81",2,80,2026-03-18 08:15:06,2026-03-18 08:15:06
"019cfe82-bc66-7137-bafd-204a08bcd9b7","019ce160-6b44-7326-9bb7-1eef7aeffe81",3,60,2026-03-18 08:15:06,2026-03-18 08:15:06
"019cff0c-6d30-7155-999f-51bdce0815ae","019ce162-3bd6-71ef-88b4-6c18305af5aa",1,100,2026-03-18 10:45:30,2026-03-18 10:45:30
"019cff0c-6d34-717f-bf1f-826d5e7b3577","019ce162-3bd6-71ef-88b4-6c18305af5aa",2,70,2026-03-18 10:45:30,2026-03-18 10:45:30
"019cff0c-6d37-70e3-90e3-6b0d8a778286","019ce162-3bd6-71ef-88b4-6c18305af5aa",3,50,2026-03-18 10:45:30,2026-03-18 10:45:30
"019d0054-1f02-703a-bb27-a605722ba0c6","019d0054-1eec-7107-aac4-b05ef5e13409",1,100,2026-03-18 16:43:26,2026-03-18 16:43:26
"019d0054-1f06-72c0-a255-dcef5bb92324","019d0054-1eec-7107-aac4-b05ef5e13409",2,80,2026-03-18 16:43:26,2026-03-18 16:43:26
"019d0054-1f0a-7107-bc26-412cc042826d","019d0054-1eec-7107-aac4-b05ef5e13409",3,60,2026-03-18 16:43:26,2026-03-18 16:43:26
"019d0054-1f0d-7074-a4c0-202b1637484a","019d0054-1eec-7107-aac4-b05ef5e13409",4,40,2026-03-18 16:43:26,2026-03-18 16:43:26
"019d005c-a5f7-722e-a404-9739a8702786","019d005a-bdf3-7216-b6d9-4b0c1c5ed6af",1,100,2026-03-18 16:52:45,2026-03-18 16:52:45
"019d005c-a5fc-73e9-ad92-b54e5c5de53b","019d005a-bdf3-7216-b6d9-4b0c1c5ed6af",2,70,2026-03-18 16:52:45,2026-03-18 16:52:45
"019d005c-a600-7224-977b-1eb1e4f87cd9","019d005a-bdf3-7216-b6d9-4b0c1c5ed6af",3,50,2026-03-18 16:52:45,2026-03-18 16:52:45
