id,user_id,device_source,steps,recorded_at,created_at,updated_at
"019cfe88-705d-728a-b4f4-234cb22750ec","019ce0b3-6564-71eb-805c-185c74364725",1,400,2026-03-12 07:00:00,2026-03-18 08:21:20,2026-03-18 08:21:20
"019cfe88-705d-728a-b4f4-234cb25ac680","019ce0b3-6564-71eb-805c-185c74364725",1,300,2026-03-12 09:00:00,2026-03-18 08:21:20,2026-03-18 08:21:20
"019cfe88-705d-728a-b4f4-234cb2bde0e2","019ce0b3-6564-71eb-805c-185c74364725",1,350,2026-03-12 11:00:00,2026-03-18 08:21:20,2026-03-18 08:21:20
"019cfe97-3710-7047-ad9e-5e5ef2e219ce","019ce0b3-6639-7234-a4cc-c891e2cf6b77",1,300,2026-03-12 08:00:00,2026-03-18 08:37:28,2026-03-18 08:37:28
"019cfe97-3710-7047-ad9e-5e5ef37a9fe2","019ce0b3-6639-7234-a4cc-c891e2cf6b77",1,200,2026-03-12 10:00:00,2026-03-18 08:37:28,2026-03-18 08:37:28
"019cfe97-3710-7047-ad9e-5e5ef4117cee","019ce0b3-6639-7234-a4cc-c891e2cf6b77",1,300,2026-03-13 09:00:00,2026-03-18 08:37:28,2026-03-18 08:37:28
"019cfe97-3710-7047-ad9e-5e5ef4de09ff","019ce0b3-6639-7234-a4cc-c891e2cf6b77",1,250,2026-03-13 11:00:00,2026-03-18 08:37:28,2026-03-18 08:37:28
"019cfe98-4769-70e4-beac-00ada5c6167b","019ce0b3-6711-712c-8a67-4a09458f9621",1,200,2026-03-12 08:00:00,2026-03-18 08:38:38,2026-03-18 08:38:38
"019cfe98-4769-70e4-beac-00ada61a5aeb","019ce0b3-6711-712c-8a67-4a09458f9621",1,150,2026-03-13 09:00:00,2026-03-18 08:38:38,2026-03-18 08:38:38
"019cfe98-4769-70e4-beac-00ada63f071b","019ce0b3-6711-712c-8a67-4a09458f9621",1,180,2026-03-14 10:00:00,2026-03-18 08:38:38,2026-03-18 08:38:38
"019cfe98-4769-70e4-beac-00ada714cba1","019ce0b3-6711-712c-8a67-4a09458f9621",1,220,2026-03-15 11:00:00,2026-03-18 08:38:38,2026-03-18 08:38:38
"019cfe98-4769-70e4-beac-00ada7ed6be2","019ce0b3-6711-712c-8a67-4a09458f9621",1,300,2026-03-16 12:00:00,2026-03-18 08:38:38,2026-03-18 08:38:38
"019cfe9e-25c8-72f1-90e0-40d31ef1f124","019ce0b3-67ea-7002-9b76-c11162d87781",2,180,2026-03-12 07:10:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d31f07b3a9","019ce0b3-67ea-7002-9b76-c11162d87781",2,260,2026-03-13 08:20:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d31f24a18b","019ce0b3-67ea-7002-9b76-c11162d87781",2,320,2026-03-14 09:30:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d320016e6b","019ce0b3-67ea-7002-9b76-c11162d87781",2,150,2026-03-15 10:10:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d320578186","019ce0b3-67ea-7002-9b76-c11162d87781",2,410,2026-03-16 11:40:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d32140f9d3","019ce0b3-67ea-7002-9b76-c11162d87781",2,220,2026-03-17 12:00:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9e-25c8-72f1-90e0-40d321edfb99","019ce0b3-67ea-7002-9b76-c11162d87781",2,360,2026-03-18 06:20:00,2026-03-18 08:45:03,2026-03-18 08:45:03
"019cfe9f-3e4c-71ee-bc13-2cfcf0a06dca","019ce0b3-68c2-720e-8300-0d519283e43e",1,240,2026-03-12 06:50:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf1970ce7","019ce0b3-68c2-720e-8300-0d519283e43e",1,310,2026-03-13 08:10:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf1cd1d02","019ce0b3-68c2-720e-8300-0d519283e43e",1,200,2026-03-14 09:40:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf2725c2d","019ce0b3-68c2-720e-8300-0d519283e43e",1,450,2026-03-15 10:30:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf2f7b94e","019ce0b3-68c2-720e-8300-0d519283e43e",1,370,2026-03-16 11:20:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf3556e5f","019ce0b3-68c2-720e-8300-0d519283e43e",1,180,2026-03-17 12:50:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfe9f-3e4c-71ee-bc13-2cfcf3641b66","019ce0b3-68c2-720e-8300-0d519283e43e",1,420,2026-03-18 06:30:00,2026-03-18 08:46:14,2026-03-18 08:46:14
"019cfea0-0d34-71c1-9d44-96c9bd403a16","019ce0b3-6998-72d3-b835-16dc12b320cd",1,300,2026-03-12 07:30:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfea0-0d34-71c1-9d44-96c9bd9af133","019ce0b3-6998-72d3-b835-16dc12b320cd",1,180,2026-03-13 08:45:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfea0-0d34-71c1-9d44-96c9bd9b9da9","019ce0b3-6998-72d3-b835-16dc12b320cd",1,420,2026-03-14 09:20:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfea0-0d34-71c1-9d44-96c9be5c54c6","019ce0b3-6998-72d3-b835-16dc12b320cd",1,260,2026-03-15 10:50:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfea0-0d34-71c1-9d44-96c9bf108f00","019ce0b3-6998-72d3-b835-16dc12b320cd",1,350,2026-03-16 11:10:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfea0-0d34-71c1-9d44-96c9bff4ae06","019ce0b3-6998-72d3-b835-16dc12b320cd",1,210,2026-03-17 12:30:00,2026-03-18 08:47:07,2026-03-18 09:28:12
"019cfeca-fc61-724f-8d67-33d45b54c625","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,180,2026-03-12 07:10:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfeca-fc61-724f-8d67-33d45bef448f","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,120,2026-03-13 08:20:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfeca-fc61-724f-8d67-33d45cb7fb82","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,160,2026-03-14 09:30:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfeca-fc61-724f-8d67-33d45d65fbeb","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,140,2026-03-15 10:10:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfeca-fc61-724f-8d67-33d45e617828","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,120,2026-03-16 11:40:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfeca-fc61-724f-8d67-33d45f151fbb","019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",1,100,2026-03-17 12:00:00,2026-03-18 09:34:01,2026-03-18 09:34:01
"019cfecc-7ed9-730b-ab6b-19097e47497a","019ce0b3-6b7e-725d-8970-18e4513c148e",1,200,2026-03-12 06:50:00,2026-03-18 09:35:40,2026-03-18 09:35:40
"019cfecc-7ed9-730b-ab6b-19097e9f6102","019ce0b3-6b7e-725d-8970-18e4513c148e",1,150,2026-03-13 08:10:00,2026-03-18 09:35:40,2026-03-18 09:35:40
"019cfecc-7ed9-730b-ab6b-19097ea384eb","019ce0b3-6b7e-725d-8970-18e4513c148e",1,180,2026-03-14 09:40:00,2026-03-18 09:35:40,2026-03-18 09:35:40
"019cfecc-7ed9-730b-ab6b-19097eab228d","019ce0b3-6b7e-725d-8970-18e4513c148e",1,170,2026-03-15 10:30:00,2026-03-18 09:35:40,2026-03-18 09:35:40
